State,Cong. District,Representative,Party,Leadership,Projects,Total Appropriation
New Hampshire,1,Carol Shea-Porter ,Democrat,,5,31683023
New Hampshire,2,"Paul Hodes, II ",Democrat,,10,50335554
New Hampshire,Multiple,,,,9,26142730
New Jersey,1,Robert E. Andrews ,Democrat,,7,101253700
New Jersey,2,Frank A. LoBiondo ,Republican,,3,75251183
New Jersey,3,John Adler ,Democrat,,3,9926880
New Jersey,4,Chris H. Smith ,Republican,,1,1875487
New Jersey,5,Scott Garrett ,Republican,,2,5891438
New Jersey,6,"Frank Pallone, Jr. ",Democrat,,3,41540832
New Jersey,7,Leonard Lance ,Republican,,2,3427002
New Jersey,8,"Bill Pascrell, Jr. ",Democrat,,4,37307267
New Jersey,9,Steve Rothman ,Democrat,,8,90038760
New Jersey,10,Donald M. Payne ,Democrat,,4,38532020
New Jersey,11,Rodney Frelinghuysen ,Republican,,5,25725221
New Jersey,12,Rush Holt ,Democrat,,3,7522525
New Jersey,13,Albio Sires ,Democrat,,2,2917747
New Jersey,Multiple,,,,5,17922850
New Mexico,1,Martin Heinrich ,Democrat,,1,14800000
New Mexico,2,Harry Teague ,Democrat,,3,33600000
New Mexico,3,"Ben R. Lujan, Jr. ",Democrat,,6,108993729
New York,1,Timothy H. Bishop ,Democrat,,1,3158000
New York,2,Steve J. Israel ,Democrat,,3,12500000
New York,3,Peter T. King ,Republican,,0,0
New York,4,Carolyn McCarthy ,Democrat,,0,0
New York,5,Gary L. Ackerman ,Democrat,,0,0
New York,6,Gregory W. Meeks ,Democrat,,0,0
New York,7,Joseph Crowley ,Democrat,,0,0
New York,8,Jerrold Nadler ,Democrat,,0,0
New York,9,Anthony Weiner ,Democrat,,0,0
New York,10,Edolphus Towns ,Democrat,,0,0
New York,11,Yvette Clarke ,Democrat,,0,0
New York,12,Nydia M. Velazquez ,Democrat,,0,0
New York,13,Michael McMahon ,Democrat,,2,4239680
New York,14,Carolyn B. Maloney ,Democrat,,0,0
New York,15,Charles B. Rangel ,Democrat,,0,0
New York,16,Jose E. Serrano ,Democrat,,0,0
New York,17,Eliot L. Engel ,Democrat,,1,10168000
New York,18,Nita M. Lowey ,Democrat,,5,49387436
New York,19,John Hall ,Democrat,,3,6020170
New York,20,Scott Murphy ,Democrat,,10,23151167
New York,21,Paul Tonko ,Democrat,,15,51830665
New York,22,Maurice D. Hinchey ,Democrat,,18,40352465
New York,23,John M. McHugh ,Republican,,19,25631000
New York,24,Michael Arcuri ,Democrat,,42,51011613
New York,25,Dan Maffei ,Democrat,,8,30295908
New York,26,Christopher J. Lee ,Republican,,33,39533710
New York,27,Brian M. Higgins ,Democrat,,17,18526971
New York,28,Louise McIntosh Slaughter ,Democrat,,8,10420584
New York,29,Eric J.J. Massa ,Democrat,,36,54447946
New York,Multiple,,,,70,256009565
North Carolina,1,"G. K. Butterfield, Jr. ",Democrat,,15,18490617
North Carolina,2,Bob Etheridge ,Democrat,,7,7617380
North Carolina,3,"Walter B. Jones, Jr. ",Republican,,2,19821595
North Carolina,4,David Price ,Democrat,,6,18049769
North Carolina,5,Virginia Foxx ,Republican,,11,53531119
North Carolina,6,Howard Coble ,Republican,,2,8393084
North Carolina,7,Mike McIntyre ,Democrat,,1,7243601
North Carolina,8,Larry Kissell ,Democrat,,6,21056121
North Carolina,9,Sue Myrick ,Republican,,1,5922937
North Carolina,10,Patrick McHenry ,Republican,,3,12361796
North Carolina,11,Heath Shuler ,Democrat,,7,23064849
North Carolina,12,Mel Watt ,Democrat,,0,0
North Carolina,13,Brad Miller ,Democrat,,0,0
North Carolina,Multiple,,,,39,227765777
North Dakota,,Earl Pomeroy ,Democrat,,97,92655661
Ohio,1,Steve Driehaus ,Democrat,,3,7575000
Ohio,2,Jean Schmidt ,Republican,,6,8714945
Ohio,3,Mike Turner ,Republican,,6,3059845
Ohio,4,Jim Jordan ,Republican,,12,15703595
Ohio,5,Robert E. Latta ,Republican,,9,6517852
Ohio,6,Charles Wilson ,Democrat,,16,199003110
Ohio,7,Steve Austria ,Republican,,10,26221421
Ohio,8,John A. Boehner ,Republican,,12,13491809
Ohio,9,Marcy Kaptur ,Democrat,,4,6598598
Ohio,10,Dennis J. Kucinich ,Democrat,,3,8517580
Ohio,11,Marcia L. Fudge ,Democrat,,2,12827015
Ohio,12,Patrick J. Tiberi ,Republican,,4,7264980
Ohio,13,Betty Sutton ,Democrat,,9,5780274
Ohio,14,Steve C. LaTourette ,Republican,,9,14873750
Ohio,15,Mary Jo Kilroy ,Democrat,,0,0
Ohio,16,John Boccieri ,Democrat,,14,22861075
Ohio,17,Tim Ryan ,Democrat,,9,12134930
Ohio,18,Zack T. Space ,Democrat,,29,43466395
Ohio,Multiple,,,,2,27962500
Oklahoma,1,John Sullivan ,Republican,,15,79236600
Oklahoma,2,Dan Boren ,Democrat,,37,81208501
Oklahoma,3,Frank D. Lucas ,Republican,,53,138212382
Oklahoma,4,Tom Cole ,Republican,,24,76636695
Oklahoma,5,Mary Fallin ,Republican,,7,10586493
Oregon,1,David Wu ,Democrat,,26,17417579
Oregon,2,Greg Walden ,Republican,,55,67675852
Oregon,3,Earl Blumenauer ,Democrat,,11,10022944
Oregon,4,Peter A. DeFazio ,Democrat,,40,41243554
Oregon,5,Kurt Schrader ,Democrat,,32,33596926
Oregon,Multiple,,,,9,8421874
Pennsylvania,1,Robert A. Brady ,Democrat,,1,65849409
Pennsylvania,2,Chaka Fattah,Democrat,,0,0
Pennsylvania,3,Kathy Dahlkemper ,Democrat,,18,47559285
Pennsylvania,4,Jason Altmire ,Democrat,,4,23402192
Pennsylvania,5,Glenn GT Thompson ,Republican,,27,58591306
Pennsylvania,6,Jim Gerlach ,Republican,,1,5925124
Pennsylvania,7,Joe Sestak ,Democrat,,1,134416
Pennsylvania,8,Patrick Murphy ,Democrat,,1,1129214
Pennsylvania,9,Bill Shuster ,Republican,,17,39750502
Pennsylvania,10,Christopher Carney ,Democrat,,34,47482415
Pennsylvania,11,Paul E. Kanjorski ,Democrat,,10,45647261
Pennsylvania,12,John P. Murtha ,Democrat,,14,23995101
Pennsylvania,13,Allyson Schwartz ,Democrat,,1,273000
Pennsylvania,14,Michael F. Doyle ,Democrat,,1,26190521
Pennsylvania,15,Charles W. Dent ,Republican,,5,16341326
Pennsylvania,16,Joseph R. Pitts ,Republican,,3,17798753
Pennsylvania,17,Tim Holden ,Democrat,,7,28547801
Pennsylvania,18,Tim Murphy ,Republican,,6,22831043
Pennsylvania,19,Todd R. Platts ,Republican,,5,26604384
Pennsylvania,Multiple,,,,48,235951483
Puerto Rico,,R.C. Pedro Pierluisi ,Democrat,,9,55240083
Rhode Island,1,Patrick J. Kennedy ,Democrat,,11,34042732
Rhode Island,2,James R. Langevin ,Democrat,,17,53826141
Rhode Island,Multiple,,,,18,25115186
South Carolina,1,"Henry E. Brown, Jr. ",Republican,,8,15664070
South Carolina,2,Joe Wilson ,Republican,,12,26374329
South Carolina,3,Gresham Barrett ,Republican,,12,39890335
South Carolina,4,Bob Inglis ,Republican,,3,10982054
South Carolina,5,"John M. Spratt, Jr. ",Democrat,,9,12541199
South Carolina,6,James E. Clyburn ,Democrat,,10,25539557
South Carolina,Multiple,,,,19,69277456
South Dakota,,Stephanie Herseth Sandlin ,Democrat,,16,90290807
Tennessee,1,Phil Roe ,Republican,,27,60838498
Tennessee,2,"John J. Duncan, Jr. ",Republican,,11,15619238
Tennessee,3,Zach Wamp ,Republican,,23,44289806
Tennessee,4,Lincoln Davis ,Democrat,,42,78432378
Tennessee,5,Jim Cooper ,Democrat,,12,57028950
Tennessee,6,Bart Gordon ,Democrat,,25,60915344
Tennessee,7,Marsha Blackburn ,Republican,,19,38454149
Tennessee,8,John S. Tanner ,Democrat,,37,104349074
Tennessee,9,Steve Ira Cohen ,Democrat,,2,5295753
Texas,1,Louie Gohmert ,Republican,,10,71443812
Texas,2,Ted Poe ,Republican,,2,9314000
Texas,3,Sam Johnson ,Republican,,2,2828650
Texas,4,Ralph M. Hall ,Republican,,9,34889569
Texas,5,Jeb Hensarling ,Republican,,7,19615283
Texas,6,Joe Barton ,Republican,,15,48536236
Texas,7,John A. Culberson ,Republican,,1,216310
Texas,8,Kevin Brady ,Republican,,8,15707213
Texas,9,Al Green ,Democrat
Texas,10,Michael T. McCaul ,Republican,,10,22208978
Texas,11,Mike Conaway ,Republican,,9,34044947
Texas,12,Kay Granger ,Republican,,7,20603338
Texas,13,Mac Thornberry ,Republican,,15,33624966
Texas,14,Ron Paul ,Republican,,11,56219911
Texas,15,Ruben Hinojosa ,Democrat,,12,133159078
Texas,16,Silvestre Reyes ,Democrat,,2,3773009
Texas,17,Chet Edwards ,Democrat,,7,26084582
Texas,18,Sheila Jackson-Lee ,Democrat
Texas,19,Randy Neugebauer ,Republican,,11,53877298
Texas,20,Charles A. Gonzalez ,Democrat
Texas,21,Lamar Smith ,Republican,,7,19759511
Texas,22,Pete Olson ,Republican,,4,3997738
Texas,23,Ciro Rodriguez ,Democrat,,9,32120168
Texas,24,Kenny Marchant ,Republican,,1,250000000
Texas,25,Lloyd Doggett ,Democrat,,7,18483072
Texas,26,Michael Burgess ,Republican,,5,5140981
Texas,27,Solomon P. Ortiz ,Democrat,,3,14983606
Texas,28,Henry Cuellar ,Democrat,,5,41977177
Texas,29,Gene Green ,Democrat
Texas,30,Eddie Bernice Johnson ,Democrat,,3,19105967
Texas,31,John Carter ,Republican,,7,30708027
Texas,32,Pete Sessions ,Republican,,0,0
Texas,Multiple,,,,20,160112493
Utah,1,Rob Bishop ,Republican,,24,69528665
Utah,2,James D. Matheson ,Democrat,,29,54110431
Utah,3,Jason Chaffetz ,Republican,,33,68340783
Utah,Multiple,,,,10,2301000
Vermont,,Peter Welch ,Democrat,,22,53069059
Virgin Islands,,Del. Donna M. Christensen ,Democrat,,3,10692498
Virginia,1,Robert J. Wittman ,Republican,,2,10597345
Virginia,2,"Glenn Nye, III ",Democrat,,1,10607101
Virginia,3,Robert C. Scott ,Democrat,,0,0
Virginia,4,J. Randy Forbes ,Republican,,4,32840664
Virginia,5,Tom Perriello ,Democrat,,3,7556947
Virginia,6,Bob Goodlatte ,Republican,,4,24490970
Virginia,7,Eric I. Cantor ,Republican,,7,45846224
Virginia,8,James P. Moran ,Democrat,,0,0
Virginia,9,Rick Boucher ,Democrat,,3,11474545
Virginia,10,Frank R. Wolf ,Republican,,2,5933118
Virginia,11,James P. Moran ,Democrat,,0,0
Virginia,Multiple,,,,19,135839250
Washington,1,Jay Inslee ,Democrat,,6,45714757
Washington,2,Rick R. Larsen ,Democrat,,19,25839322
Washington,3,Brian Baird ,Democrat,,28,38110312
Washington,4,Richard Doc Hastings ,Republican,,39,74457477
Washington,5,Cathy McMorris Rodgers ,Republican,,30,36309140
Washington,6,Norman D. Dicks ,Democrat,,12,20516071
Washington,7,Jim McDermott ,Democrat,,3,17566000
Washington,8,Dave Reichert ,Republican,,5,40514075
Washington,9,Adam Smith ,Democrat,,5,56573104
Washington,Multiple,,,,8,8565676
West Virginia,1,Alan B. Mollohan ,Democrat,,18,46980005
West Virginia,2,Shelley Moore Capito ,Republican,,23,58257300
West Virginia,3,"Nick Joe Rahall, II ",Democrat,,37,60437709
Wisconsin,1,Paul Ryan ,Republican,,15,98094462
Wisconsin,2,Tammy Baldwin ,Democrat,,11,53272598
Wisconsin,3,Ron Kind ,Democrat,,22,22158374
Wisconsin,4,Gwen Moore ,Democrat,,4,8624056
Wisconsin,5,"F. James Sensenbrenner, Jr. ",Republican,,4,5509889
Wisconsin,6,Thomas E. Petri ,Republican,,23,71957770
Wisconsin,7,David R. Obey ,Democrat,Appropriations (Chair),37,57640842
Wisconsin,8,Steve Kagen ,Democrat,,17,25555726
Wisconsin,Multiple,,,,2,9102046
Wyoming,,Cynthia Lummis ,Republican,,49,138526141
TOTAL,,,,,,16375788244
